City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
sorland,67.667,12.6934,38.52,79,90,26.49,NO,1644104156
thinadhoo,0.5333,72.9333,81.86,72,27,11.18,MV,1644104156
zyryanka,65.75,150.85,-36.02,99,52,2.68,RU,1644104157
morehead,37.2711,-87.1764,28.15,59,0,0.0,US,1644104132
rawson,-43.3002,-65.1023,60.87,46,0,10.69,AR,1644104157
gubkin,51.2817,37.5458,19.78,95,100,9.6,RU,1644104158
shelburne,44.0787,-80.2041,12.09,71,75,5.12,CA,1644103956
ondjiva,-17.0667,15.7333,64.26,75,100,9.48,AO,1644104158
necochea,-38.5473,-58.7368,60.04,67,100,19.3,AR,1644104159
nishihara,26.1842,127.7558,56.48,60,40,5.75,JP,1644103877
begunitsy,59.5855,29.3176,24.3,97,100,4.47,RU,1644104159
talaya,61.3833,152.75,-27.87,91,59,1.54,RU,1644104159
bejar,40.3864,-5.7634,28.54,80,0,6.33,ES,1644104160
bandarbeyla,9.4942,50.8122,73.8,74,78,9.22,SO,1644104160
kodiak,57.79,-152.4072,40.51,87,100,18.41,US,1644104160
baykit,61.67,96.37,10.15,93,96,6.24,RU,1644104160
morondava,-20.2833,44.2833,81.5,74,100,17.76,MG,1644104161
lasa,46.6166,10.7002,36.86,43,2,3.13,IT,1644104161
rudnya,54.947,31.0934,29.93,94,100,15.28,RU,1644104161
havelock,34.8791,-76.9013,42.78,64,3,1.99,US,1644104094
chumphon,10.3333,98.8333,77.11,98,43,2.21,TH,1644104162
saladoblanco,1.9924,-76.0434,63.63,96,74,1.74,CO,1644104162
krasnyy chikoy,50.3643,108.7512,-3.46,99,95,1.83,RU,1644104162
kungurtug,50.5994,97.5228,-15.39,95,68,1.83,RU,1644104163
camacupa,-12.0167,17.4833,57.0,82,98,4.47,AO,1644104163
soldatskaya,43.8181,43.8158,26.71,69,59,3.44,RU,1644104163
senno,59.5336,33.9167,19.26,94,100,8.9,RU,1644104164
rio grande,-32.035,-52.0986,74.95,83,27,5.17,BR,1644104164
dubai,25.2582,55.3047,71.85,73,40,13.8,AE,1644103987
popondetta,-8.7537,148.2534,82.51,78,100,2.95,PG,1644104165
faanui,-16.4833,-151.75,81.41,72,14,20.71,PF,1644104165
brae,60.3964,-1.353,37.31,58,100,37.92,GB,1644104165
qiongshan,20.0058,110.3542,62.58,88,75,8.95,CN,1644104165
lagoa,39.05,-27.9833,58.84,77,13,16.49,PT,1644104018
manggar,-2.8833,108.2667,78.75,86,94,7.9,ID,1644104166
sisimiut,66.9395,-53.6735,1.71,91,100,10.36,GL,1644104166
itarema,-2.9248,-39.9167,78.94,80,13,10.49,BR,1644103948
sibolga,1.7427,98.7792,75.16,90,100,2.06,ID,1644104167
bavly,54.393,53.2602,17.87,98,99,2.17,RU,1644104167
tautira,-17.7333,-149.15,86.02,75,31,19.66,PF,1644104168
gladstone,-23.85,151.25,78.73,53,3,14.97,AU,1644104168
portland,45.5234,-122.6762,54.46,74,75,1.99,US,1644103652
chake chake,-5.2459,39.7666,78.01,84,100,6.67,TZ,1644104168
shasta lake,40.6804,-122.3708,74.12,18,0,6.71,US,1644103932
nouakchott,18.0858,-15.9785,69.73,47,0,11.34,MR,1644104169
high prairie,55.4334,-116.4858,35.4,73,92,14.38,CA,1644104155
manadhoo,5.7667,73.3833,80.55,65,32,7.05,MV,1644104169
miastko,54.0028,16.9826,34.95,97,99,14.72,PL,1644104170
pochutla,15.7432,-96.4661,86.83,51,2,6.04,MX,1644104170
tuy hoa,13.0833,109.3,71.98,89,100,13.15,VN,1644104170
gasa,31.5,34.4667,49.98,69,91,9.93,PS,1644104171
solnechnyy,50.7214,136.6319,4.12,93,100,1.19,RU,1644104171
la palma,33.8464,-118.0467,77.41,19,0,5.01,US,1644103903
liverpool,53.4106,-2.9779,50.68,82,100,11.99,GB,1644104016
nadym,65.5333,72.5167,-19.37,100,100,0.4,RU,1644104171
akureyri,65.6835,-18.0878,19.33,100,100,0.0,IS,1644104172
chirilagua,13.2203,-88.1386,89.29,53,35,2.77,SV,1644104172
leh,34.1667,77.5833,0.59,78,98,2.28,IN,1644104173
nchelenge,-9.3451,28.734,69.26,86,97,5.37,ZM,1644104173
sobolevo,54.4299,31.8996,30.33,94,100,15.28,RU,1644104142
pangnirtung,66.1451,-65.7125,-30.71,98,100,3.42,CA,1644104173
richards bay,-28.783,32.0377,70.75,89,94,7.0,ZA,1644104174
umba,66.6871,34.3429,18.97,94,100,16.53,RU,1644104174
manhattan,40.7834,-73.9662,25.66,55,75,8.05,US,1644103911
krutinka,56.0055,71.5113,9.54,78,100,8.72,RU,1644104175
bima,-8.4667,118.7167,81.03,87,97,4.56,ID,1644104175
mpwapwa,-6.35,36.4833,65.41,90,100,3.06,TZ,1644104175
caravelas,-17.7125,-39.2481,77.81,80,100,7.63,BR,1644104176
egvekinot,66.3167,-179.1667,-8.32,87,10,10.83,RU,1644104176
tilichiki,60.4667,166.1,-3.93,75,23,8.61,RU,1644104176
nanakuli,21.3906,-158.1547,82.35,61,75,10.36,US,1644104177
aasiaat,68.7098,-52.8699,-7.47,87,99,7.16,GL,1644104177
adrar,20.5022,-10.0711,65.68,7,0,9.01,MR,1644104177
port hedland,-20.3167,118.5667,86.05,79,74,9.22,AU,1644103707
gizo,-8.103,156.8419,85.53,71,90,9.44,SB,1644104178
lompoc,34.6391,-120.4579,71.78,29,0,13.8,US,1644104178
aksay,47.26,39.87,30.25,84,64,8.99,RU,1644104041
anori,-3.7728,-61.6442,74.53,97,91,0.74,BR,1644104179
peleduy,59.6289,112.7406,8.98,96,100,5.06,RU,1644104179
westport,41.1415,-73.3579,25.75,67,0,5.99,US,1644103898
coruripe,-10.1256,-36.1756,79.43,73,94,12.33,BR,1644104179
nusaybin,37.0778,41.2178,37.2,56,1,6.82,TR,1644104180
gisborne,-38.6533,178.0042,66.94,78,100,2.01,NZ,1644104180
manbij,36.5281,37.9549,32.77,76,34,5.66,SY,1644104180
leo,11.1,-2.1,70.45,14,7,7.56,BF,1644104181
abu samrah,35.3029,37.1841,42.28,84,14,5.23,SY,1644104040
havre-saint-pierre,50.2334,-63.5986,7.39,71,0,9.22,CA,1644104181
martapura,-3.4167,114.85,75.29,100,40,2.3,ID,1644104181
lampazos de naranjo,27.0167,-100.5167,52.97,26,0,9.73,MX,1644104182
tabanan,-8.5413,115.1252,79.2,79,55,2.04,ID,1644104182
dingle,10.9995,122.6711,78.19,80,93,14.14,PH,1644104182
kirakira,-10.4544,161.9205,84.36,77,92,7.9,SB,1644104182
mogadishu,2.0371,45.3438,76.48,84,34,15.46,SO,1644104183
chapada dos guimaraes,-15.4606,-55.7497,74.86,87,57,3.58,BR,1644104183
chara,56.9064,118.2631,-19.23,82,12,1.23,RU,1644104183
katsuura,35.1333,140.3,38.19,45,6,13.58,JP,1644104184
gazojak,41.1875,61.4036,39.4,95,100,22.26,TM,1644104184
flinders,-34.5833,150.8552,72.21,70,75,11.99,AU,1644104184
kotel,42.8833,26.45,39.76,85,93,8.34,BG,1644104185
kudat,6.8837,116.8477,77.29,94,40,5.75,MY,1644104185
mantua,45.1667,10.7833,46.49,83,0,2.39,IT,1644104185
codrington,-38.2667,141.9667,73.49,45,66,9.64,AU,1644103897
vicuna,-30.0319,-70.7081,79.77,40,0,4.38,CL,1644104186
alikalia,9.1667,-11.4,68.29,27,68,1.92,SL,1644104186
biloela,-24.4167,150.5,80.01,42,0,18.41,AU,1644104186
chimbote,-9.0853,-78.5783,70.79,82,11,9.1,PE,1644104187
altamira,-3.2033,-52.2064,73.58,97,93,2.91,BR,1644104187
yarmouth,41.7057,-70.2286,25.97,59,0,12.66,US,1644104099
peremyshl,54.2631,36.1606,18.16,95,100,9.06,RU,1644104187
jobabo,20.9692,-76.2994,77.02,75,15,8.48,CU,1644104188
svetlogorsk,52.6333,29.7333,30.81,93,99,14.32,BY,1644104188
ahipara,-35.1667,173.1667,76.98,78,99,5.1,NZ,1644104188
ust-kalmanka,52.1207,83.305,-5.15,97,13,2.82,RU,1644104189
shimoda,34.6667,138.95,41.36,55,4,25.39,JP,1644104189
zhangjiakou,40.81,114.8794,10.11,66,2,4.56,CN,1644104189
talnakh,69.4865,88.3972,-19.59,100,99,2.19,RU,1644104190
sola,-13.8833,167.55,82.38,78,95,20.15,VU,1644104190
kahului,20.8947,-156.47,87.06,66,20,16.11,US,1644104063
yenotayevka,47.2456,47.0281,26.22,75,87,18.63,RU,1644104190
mayumba,-3.432,10.6554,76.87,87,37,5.75,GA,1644104191
ilulissat,69.2167,-51.1,-1.48,78,100,7.07,GL,1644104191
tocopilla,-22.092,-70.1979,70.56,68,20,8.32,CL,1644104192
polyarnyy,69.1989,33.4478,18.07,83,100,24.05,RU,1644104192
balarampur,23.1167,86.2167,53.51,57,1,3.13,IN,1644104192
ossora,59.2353,163.0719,14.41,88,100,11.14,RU,1644104193
gondar,12.6,37.4667,56.48,67,64,3.13,ET,1644104193
nelson,-41.2833,173.2833,59.29,90,100,1.99,NZ,1644104172
polovinnoye,54.7914,65.9864,11.73,85,100,7.87,RU,1644104193
muti,7.2758,122.28,76.73,79,54,4.32,PH,1644104194
hvolsvollur,63.7533,-20.2243,24.82,87,98,7.43,IS,1644104194
turayf,31.6725,38.6637,39.45,100,0,4.61,SA,1644104194
harper,4.375,-7.7169,79.38,85,14,6.2,LR,1644104195
hazorasp,41.3194,61.0742,37.24,95,100,21.05,UZ,1644104195
mutata,7.2441,-76.4356,73.02,94,34,2.44,CO,1644104195
moissala,8.3404,17.7663,72.19,20,88,5.21,TD,1644104196
praia da vitoria,38.7333,-27.0667,57.45,94,40,16.78,PT,1644104196
roma,43.2128,-75.4557,13.86,66,0,6.91,US,1644104196
kayerkan,69.3497,87.7602,-18.04,99,99,1.61,RU,1644104196
longyearbyen,78.2186,15.6401,10.24,61,20,21.85,SJ,1644104197
broken hill,-31.95,141.4333,73.11,40,100,21.85,AU,1644104197
oktyabrskiy,54.4815,53.471,18.61,98,99,1.77,RU,1644104197
pangai,-19.8,-174.35,78.89,87,100,24.94,TO,1644103723
port shepstone,-30.7414,30.455,72.55,75,99,3.85,ZA,1644104198
pervouralsk,56.9053,59.9436,10.65,97,100,5.19,RU,1644104198
etchoropo,26.7667,-109.6667,74.41,49,3,14.03,MX,1644104199
turtas,58.9417,69.1325,14.88,95,100,3.36,RU,1644104199
medzilaborce,49.2719,21.9007,30.97,96,33,3.42,SK,1644104183
grand-santi,4.25,-54.3833,72.63,99,73,2.86,GF,1644104199
cervo,43.6702,-7.4101,47.28,76,6,5.28,ES,1644104200
mayo,38.8876,-76.5119,31.19,51,0,3.0,US,1644104200
zanjan,36.6736,48.4787,23.04,88,36,4.65,IR,1644104200
batangafo,7.3008,18.2833,70.12,23,74,3.8,CF,1644104201
besikduzu,41.052,39.2284,40.89,66,95,7.61,TR,1644104201
ermelo,-26.5333,29.9833,54.39,98,100,8.34,ZA,1644104201
fairbanks,64.8378,-147.7164,14.81,78,100,0.0,US,1644104202
auki,-8.7676,160.7034,83.61,78,91,7.45,SB,1644104202
trojes,41.756,19.962,41.49,88,95,6.64,AL,1644104202
tabou,4.423,-7.3528,79.39,86,10,5.77,CI,1644104203
krasnoborsk,61.5598,45.934,2.68,98,75,4.63,RU,1644104203
remedios,22.4947,-79.5458,74.32,75,1,9.13,CU,1644104203
yokadouma,3.5167,15.05,66.79,27,90,2.37,CM,1644104204
khash,28.2211,61.2158,51.57,57,2,9.15,IR,1644104204
siyabuswa,-25.1132,29.0445,68.5,67,53,8.93,ZA,1644104204
torrington,41.8007,-73.1212,21.13,67,2,8.99,US,1644104204
chicama,-7.8447,-79.1469,66.74,73,11,8.34,PE,1644104205
intibuca,14.3167,-88.1667,62.33,72,20,6.91,HN,1644104205
ust-kuyga,70.0167,135.6,-39.03,100,100,4.52,RU,1644104205
klaksvik,62.2266,-6.589,32.92,83,85,17.16,FO,1644104206
gampengrejo,-7.7667,112.0167,77.68,82,37,1.88,ID,1644104206
los llanos de aridane,28.6585,-17.9182,64.13,42,0,7.0,ES,1644104207
samarai,-10.6167,150.6667,83.62,73,100,7.43,PG,1644104207
angoche,-16.2325,39.9086,74.82,85,23,10.27,MZ,1644104207
shahreza,32.0339,51.8794,32.04,57,0,4.23,IR,1644104208
ahuimanu,21.4447,-157.8378,82.11,67,40,3.0,US,1644104208
port blair,11.6667,92.75,77.04,94,40,2.3,IN,1644104208
biharkeresztes,47.1333,21.7167,32.07,83,7,5.75,HU,1644104209
eyl,7.9803,49.8164,71.17,77,14,6.76,SO,1644104209
yarada,17.65,83.2667,66.52,94,20,2.3,IN,1644104209
vestmanna,62.1564,-7.1664,31.12,86,75,16.11,FO,1644104210
maldonado,-34.6667,-54.9167,67.39,84,71,9.55,UY,1644104210
quatre cocos,-20.2078,57.7625,79.09,81,100,17.52,MU,1644104210
huarmey,-10.0681,-78.1522,71.96,80,20,9.91,PE,1644104211
hit,33.6416,42.8251,50.31,57,4,7.96,IQ,1644104211
arman,59.7,150.1667,2.01,72,32,11.52,RU,1644104211
shenjiamen,29.9576,122.298,40.46,62,55,9.53,CN,1644104212
the valley,18.217,-63.0578,76.1,94,75,9.22,AI,1644104212
potsdam,52.3989,13.0657,43.09,83,100,5.99,DE,1644104212
quesnel,52.9999,-122.5029,34.3,86,100,2.3,CA,1644104153
